Listid,Listname,listPublished,Published,Sectorcode,Status,Competitorid,Fiscode,Lastname,Firstname,Nationcode,Gender,Birthdate,Skiclub,Nationalcode,Competitorname,Birthyear,Calculationdate,DHpoints,DHpos,DHSta,SLpoints,SLpos,SLSta,GSpoints,GSpos,GSSta,SGpoints,SGpos,SGSta,ACpoints,ACpos,ACSta
412,"21st FIS points list 2024/25",1,1,AL,O,280387,180974,AAPRO,Max,FIN,M,2007-12-12,"GrIFK Alpine",FIN,"AAPRO Max",2007,15-04-2025,169.35,1411,*,120.96,3636,*,102.78,3209,*,160.20,2124,*,,,
412,"21st FIS points list 2024/25",1,1,AL,O,287590,423078,AARNES,Teodor,NOR,M,2008-08-26,"Skien Alpinklubb",22,"AARNES Teodor",2008,15-04-2025,,,,126.46,3767,,194.15,5005,+,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,222296,507099,AARSJOE,Ebba,SWE,W,2001-01-12,"Vemdalens If",SWE,"AARSJOE Ebba",2001,15-04-2025,593.04,1209,*,90.92,1818,*,91.71,1846,*,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,228266,507140,AARSJOE,Maja,SWE,W,2002-10-14,"Vemdalens If",SWE,"AARSJOE Maja",2002,15-04-2025,754.50,1243,*,39.31,492,*,59.84,1040,*,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,154982,426047,AASBERG,"Kristine Fausa",NOR,W,1994-02-24,"Baerums Skiclub",02,"AASBERG Kristine Fausa",1994,15-04-2025,,,,236.73,3537,*,228.41,3486,*,604.79,2209,*,,,
412,"21st FIS points list 2024/25",1,1,AL,O,287699,423093,AASEN,Sondre,NOR,M,2008-09-23,"Ingierkollen Og rustad sl.Kl",03,"AASEN Sondre",2008,15-04-2025,130.15,1058,+,76.24,2247,,81.45,2489,,89.72,902,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,270084,496671,"ABAD ANTUNA",Maria,ESP,W,2006-09-28,"ESQUI CLUB CERLER ANETO",ESP,"ABAD ANTUNA Maria",2006,15-04-2025,,,,58.73,971,*,62.32,1112,*,106.26,708,*,281.40,275,*
412,"21st FIS points list 2024/25",1,1,AL,O,216214,496434,"ABAD RODRIGUEZ",Celia,ESP,W,2000-10-24,FADI,ESP,"ABAD RODRIGUEZ Celia",2000,15-04-2025,179.71,721,*,46.90,656,*,47.05,688,*,59.43,258,*,113.87,36,*
412,"21st FIS points list 2024/25",1,1,AL,O,215778,492308,"ABAJO MASTRAL",Jaime,ESP,M,2000-11-03,"Formigal E.C.",ESP,"ABAJO MASTRAL Jaime",2000,15-04-2025,,,,199.77,4989,*,389.28,5886,*,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,270556,512745,ABATEMARCO,Gian,SUI,M,2006-06-21,Grachen,SUI,"ABATEMARCO Gian",2006,15-04-2025,176.79,1458,*,31.87,468,,41.21,837,,120.34,1505,*,226.99,453,*
412,"21st FIS points list 2024/25",1,1,AL,O,263222,10000381,ABBA,Alessandro,ITA,M,2005-05-11,"S.C. VAL VERMENAGNA A.D.",ITA51333,"ABBA Alessandro",2005,15-04-2025,,,,65.37,1803,*,68.89,2017,,146.94,1941,*,,,
412,"21st FIS points list 2024/25",1,1,AL,O,273240,10000882,ABBA,Tommaso,ITA,M,2006-02-08,"S.C. SAUZE D OULX A.D.",ITA53522,"ABBA Tommaso",2006,15-04-2025,,,,,,,85.46,2641,,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,42018,820008,ABBAS,Muhammad,PAK,M,1986-02-16,,,"ABBAS Muhammad",1986,15-04-2025,,,,736.41,6074,*,777.45,6154,*,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,216785,820032,ABBAS,Zahid,PAK,M,1999-01-01,,,"ABBAS Zahid",1999,15-04-2025,,,,770.22,6084,*,,,,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,161935,265028,ABBASI,Forough,IRI,W,1993-09-15,,,"ABBASI Forough",1993,15-04-2025,,,,142.30,2716,,484.41,4023,*,999.99,2277,*,,,
412,"21st FIS points list 2024/25",1,1,AL,O,279519,6191819,ABBE,Elie,FRA,M,2007-09-25,"SKI CLUB SAINT GERVAIS",2671652,"ABBE Elie",2007,15-04-2025,138.59,1143,,68.88,1960,*,52.57,1324,,125.52,1596,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,280858,6297182,ABBIO,"Anna Alice",ITA,W,2007-02-02,"S.C. VAL VERMENAGNA A.D.",ITA56836,"ABBIO Anna Alice",2007,15-04-2025,,,,93.37,1873,,94.45,1905,*,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,230284,6294207,ABBRUZZESE,Marco,ITA,M,2002-08-10,"GRUPPO SPORTIVO FIAMME ORO",ITA45103,"ABBRUZZESE Marco",2002,15-04-2025,24.24,107,,38.97,756,*,29.62,373,,16.25,56,,138.98,131,*
412,"21st FIS points list 2024/25",1,1,AL,O,270201,512734,ABDERHALDEN,Terry,SUI,M,2006-01-23,"SSC Toggenburg",SUI,"ABDERHALDEN Terry",2006,15-04-2025,63.31,335,,53.09,1283,,83.83,2582,*,88.54,873,*,,,
412,"21st FIS points list 2024/25",1,1,AL,O,266262,962401,ABDI,Fayik,KSA,M,1997-10-07,,,"ABDI Fayik",1997,15-04-2025,,,,116.90,3555,,87.25,2716,,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,219861,6532813,ABDOW,Alex,USA,M,2001-05-14,"Saint Michael's College",6342814,"ABDOW Alex",2001,15-04-2025,,,,54.28,1331,*,62.68,1747,*,315.77,3155,*,583.07,1088,*
412,"21st FIS points list 2024/25",1,1,AL,O,283535,830038,ABDULLOZODA,Ikromiddin,TJK,M,2007-05-01,TAJIKISTAN,TJK,"ABDULLOZODA Ikromiddin",2007,15-04-2025,,,,339.72,5723,,410.94,5915,,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,235964,860008,ABDULOV,Nurlan,AZE,M,1989-12-02,,,"ABDULOV Nurlan",1989,15-04-2025,,,,,,,,,,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,278106,308672,ABE,Anju,JPN,W,2007-11-23,,,"ABE Anju",2007,15-04-2025,,,,50.29,746,,58.35,1007,,264.47,1731,*,,,
412,"21st FIS points list 2024/25",1,1,AL,O,277984,308636,ABE,Kahimi,JPN,W,2007-08-11,,,"ABE Kahimi",2007,15-04-2025,,,,68.61,1248,,94.82,1918,,333.17,1939,*,,,
412,"21st FIS points list 2024/25",1,1,AL,O,279408,6302220,ABE,Kazuki,JPN,M,2007-02-22,,,"ABE Kazuki",2007,15-04-2025,,,,,,,,,,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,270380,6302005,ABE,Kazuto,JPN,M,2006-05-30,,,"ABE Kazuto",2006,15-04-2025,,,,73.09,2128,*,65.98,1899,,248.80,2823,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,252572,308372,ABE,Kisara,JPN,W,2004-02-16,,,"ABE Kisara",2004,15-04-2025,,,,44.21,587,,91.41,1840,,866.07,2260,*,999.99,708,*
412,"21st FIS points list 2024/25",1,1,AL,O,270651,308573,ABE,Miria,JPN,W,2006-05-23,,,"ABE Miria",2006,15-04-2025,,,,95.51,1920,*,99.44,2002,,324.47,1920,*,,,
412,"21st FIS points list 2024/25",1,1,AL,O,284939,308728,ABE,Momoka,JPN,W,2008-03-05,,,"ABE Momoka",2008,15-04-2025,,,,103.21,2088,,146.08,2723,,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,271906,6302069,ABE,Ryo,JPN,M,1996-08-22,,,"ABE Ryo",1996,15-04-2025,,,,196.53,4949,,251.47,5447,*,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,287319,6302407,ABE,Ryota,JPN,M,2006-11-14,,,"ABE Ryota",2006,15-04-2025,,,,,,,,,,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,270383,308568,ABE,Shiori,JPN,W,2006-03-30,,,"ABE Shiori",2006,15-04-2025,,,,60.48,1021,,55.28,919,,241.52,1652,*,,,
412,"21st FIS points list 2024/25",1,1,AL,O,261535,6301790,ABE,Sohei,JPN,M,2005-10-19,,,"ABE Sohei",2005,15-04-2025,,,,56.10,1416,*,71.53,2102,*,227.19,2699,*,,,
412,"21st FIS points list 2024/25",1,1,AL,O,282330,345210,ABED,Aya,LBN,W,2007-01-17,"ACTIVE CLUB",LBN,"ABED Aya",2007,15-04-2025,,,,,,,,,,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,178338,959600,ABEDA,Shannon,ERI,M,1996-05-15,,,"ABEDA Shannon",1996,15-04-2025,999.99,2227,*,81.57,2440,,96.74,3039,,999.99,3725,*,,,
412,"21st FIS points list 2024/25",1,1,AL,O,275634,260478,ABEDI,Sina,IRI,M,2004-02-24,,,"ABEDI Sina",2004,15-04-2025,,,,999.99,6154,*,947.24,6204,*,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,246017,550121,ABELE,"Gustavs Harijs",LAT,M,2003-11-26,"SK ASI",,"ABELE Gustavs Harijs",2003,15-04-2025,218.70,1708,*,56.81,1451,,86.81,2694,,226.29,2695,*,838.22,1183,*
412,"21st FIS points list 2024/25",1,1,AL,O,286391,6538223,ABELSON,Audrey,USA,W,2008-04-28,"Holderness School",6873802,"ABELSON Audrey",2008,15-04-2025,,,,93.99,1883,,125.34,2434,,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,269094,502765,ABERSTEN,Maans,SWE,M,2006-11-15,"Sundsvalls SLK",SWE,"ABERSTEN Maans",2006,15-04-2025,162.56,1355,*,101.08,3106,*,72.59,2141,,156.03,2074,*,,,
412,"21st FIS points list 2024/25",1,1,AL,O,293270,680091,Abesadze,Irakli,GEO,M,2008-04-05,,,"Abesadze Irakli",2008,15-04-2025,,,,,,,,,,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,282893,340700,"ABI RAMIA",Pedrino,LBN,M,2004-05-21,"HAFROUN EHMEJ",LBN,"ABI RAMIA Pedrino",2004,15-04-2025,,,,372.76,5788,*,395.47,5892,*,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,275183,340666,"ABI RAMIA",Raghid,LBN,M,2002-08-16,"HAFROUN EHMEJ",LBN,"ABI RAMIA Raghid",2002,15-04-2025,,,,665.12,6042,*,433.17,5951,*,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,219162,340532,"ABI SAAD","Jean Claude",LBN,M,1997-06-04,"Hafroun Al Riadi",,"ABI SAAD Jean Claude",1997,15-04-2025,,,,,,,,,,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,282348,345220,"ABI SAAD",Mandi,LBN,W,2007-08-17,"KOUMAM EL LAQLOUQ",LBN,"ABI SAAD Mandi",2007,15-04-2025,,,,,,,,,,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,282347,340694,"ABI SEMAAN",Joud,LBN,M,2007-11-06,"KOUMAM EL LAQLOUQ",LBN,"ABI SEMAAN Joud",2007,15-04-2025,,,,339.78,5724,*,365.93,5833,,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,272114,340656,ABILLAMA,Nabil,LBN,M,2006-09-16,"FARAYA MZAAR",LBN,"ABILLAMA Nabil",2006,15-04-2025,,,,268.10,5465,*,298.86,5638,*,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,268671,265091,"ABOLHASANZADEH AMAGHANI",Faezeh,IRI,W,2002-11-13,,,"ABOLHASANZADEH AMAGHANI Faezeh",2002,15-04-2025,,,,290.17,3750,,435.52,3979,*,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,193217,340428,"ABOU HAIDAR",Fawzi,LBN,M,1997-09-18,"ACTIVE CLUB",LBN,"ABOU HAIDAR Fawzi",1997,15-04-2025,,,,,,,610.92,6080,*,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,275195,340674,"ABOU NADER",Assaad,LBN,M,2001-07-17,"MZAAR AL RIYADI",LBN,"ABOU NADER Assaad",2001,15-04-2025,,,,690.33,6054,*,381.46,5870,*,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,275196,340675,"ABOU NADER",Roukoz,LBN,M,2004-09-21,"MZAAR AL RIYADI",LBN,"ABOU NADER Roukoz",2004,15-04-2025,,,,292.44,5579,*,386.47,5881,*,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,222501,198191,ABOULY,Lois,FRA,W,2001-10-07,"CLUB DES SPORTS LES MENUIRES",2646174,"ABOULY Lois",2001,15-04-2025,41.60,113,,160.65,2942,*,23.52,134,,29.41,87,*,185.45,104,*
412,"21st FIS points list 2024/25",1,1,AL,O,230012,512492,ABPLANALP,Kilian,SUI,M,2002-01-12,"SAK Haslital Brienz",SUI,"ABPLANALP Kilian",2002,15-04-2025,320.36,1954,*,23.00,158,,24.99,236,,288.84,3046,*,386.69,877,*
412,"21st FIS points list 2024/25",1,1,AL,O,246397,6533428,ABRAHAM,Connor,USA,M,2003-10-23,"Northern Michigan University",6635405,"ABRAHAM Connor",2003,15-04-2025,,,,82.87,2486,*,125.48,3835,*,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,273320,6534193,ABRAHAM,Keaton,USA,M,2006-10-17,,6877516,"ABRAHAM Keaton",2006,15-04-2025,,,,129.28,3832,,145.84,4274,,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,271828,740061,ABRAHAMYAN,Artur,ARM,M,2006-05-28,Aparan,,"ABRAHAMYAN Artur",2006,15-04-2025,,,,438.26,5881,*,196.35,5027,,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,270584,565548,ABRAM,Zana,SLO,W,2005-03-15,"POS - SK KALIC POSTOJNA",SLO,"ABRAM Zana",2005,15-04-2025,,,,184.51,3184,*,171.16,3021,*,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,235525,680078,ABRAMASHVILI,Giorgi,GEO,M,2001-11-15,Bakuriani,0162,"ABRAMASHVILI Giorgi",2001,15-04-2025,,,,,,,853.34,6178,*,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,93392,680041,ABRAMASHVILI,Iason,GEO,M,1988-04-26,Bakuriani,GEO,"ABRAMASHVILI Iason",1988,15-04-2025,,,,243.48,5338,*,308.12,5675,*,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,281571,690822,ABRAMCHUK,Mykhailo,UKR,M,2007-10-14,,,"ABRAMCHUK Mykhailo",2007,15-04-2025,,,,212.27,5107,*,210.95,5166,*,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,275810,695166,ABRAMOVA,Vladyslava,UKR,W,2006-09-09,,,"ABRAMOVA Vladyslava",2006,15-04-2025,,,,264.44,3660,*,199.54,3289,+,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,228537,221506,ABRISHAMI,Diaco,GBR,M,2002-03-04,,GBR,"ABRISHAMI Diaco",2002,15-04-2025,119.17,956,*,32.27,488,,49.10,1175,,108.75,1271,,319.46,729,*
412,"21st FIS points list 2024/25",1,1,AL,O,275472,6537887,ABUCEWICZ,Audrey,USA,W,2003-05-25,,6908607,"ABUCEWICZ Audrey",2003,15-04-2025,,,,428.50,3988,,385.60,3938,,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,249592,125100,ABUDUAINI,Adila,CHN,W,2003-08-08,,,"ABUDUAINI Adila",2003,15-04-2025,,,,,,,,,,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,287680,550150,ABZALONS,Miks,LAT,M,2008-03-30,"SK Pantera",,"ABZALONS Miks",2008,15-04-2025,,,,112.72,3458,,,,,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,220679,198146,ACCAMBRAY,Louison,FRA,W,2001-10-02,"CLUB DES SPORTS LA CLUSAZ",2637898,"ACCAMBRAY Louison",2001,15-04-2025,175.17,711,*,30.48,311,*,23.00,110,,51.10,204,,181.65,97,*
412,"21st FIS points list 2024/25",1,1,AL,O,281204,10001315,ACCORDINI,Nicola,ITA,M,2007-02-12,"SKI TEAM CAVALESE A.S.D.",ITA56930,"ACCORDINI Nicola",2007,15-04-2025,,,,236.58,5299,*,179.12,4826,,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,273369,56782,ACHATZ,"Chiara Celina",AUT,W,2006-08-11,,,"ACHATZ Chiara Celina",2006,15-04-2025,,,,88.31,1756,,103.48,2091,,106.08,703,*,,,
412,"21st FIS points list 2024/25",1,1,AL,O,285290,512855,ACHERMANN,Janis,SUI,M,2008-07-18,Soerenberg,SUI,"ACHERMANN Janis",2008,15-04-2025,119.24,957,,90.21,2744,,83.93,2588,,107.03,1235,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,279704,10001184,ACKER,Louis,AUT,M,2007-04-01,"Schiunion Klaus-Weiler",,"ACKER Louis",2007,15-04-2025,,,,69.78,2001,*,76.92,2331,*,90.13,909,,227.82,458,*
412,"21st FIS points list 2024/25",1,1,AL,O,220872,512467,ACKERMANN,Nicolas,SUI,M,2001-01-07,"Sc Feusisberg",SUI,"ACKERMANN Nicolas",2001,15-04-2025,55.06,288,*,87.22,2652,*,61.01,1683,*,57.92,397,*,179.66,269,*
412,"21st FIS points list 2024/25",1,1,AL,O,288452,10001760,ACQUARONE,Jacopo,ITA,M,2008-07-14,"S.C. SKI COLLEGE LIMONE A.D.",ITA62074,"ACQUARONE Jacopo",2008,15-04-2025,,,,69.49,1985,,68.67,2006,,180.64,2352,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,272248,198547,ACQUISTAPACE,Fiona,FRA,W,2006-07-18,"GRAND CHAMBERY SKI",2675330,"ACQUISTAPACE Fiona",2006,15-04-2025,131.67,550,*,37.62,456,,46.91,682,,96.95,604,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,270299,6301960,ADACHI,Daiki,JPN,M,2006-12-27,,,"ADACHI Daiki",2006,15-04-2025,,,,67.19,1884,,99.44,3115,,281.75,3020,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,223539,6301175,ADACHI,Kazuto,JPN,M,1978-05-23,,,"ADACHI Kazuto",1978,15-04-2025,,,,,,,,,,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,279210,108961,ADAIR,Aliya,CAN,W,2007-01-16,NSA,CAN,"ADAIR Aliya",2007,15-04-2025,,,,93.97,1882,,114.20,2263,,143.34,1047,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,277958,6537971,ADAIR,Ally,USA,W,2007-05-27,"Team Gilboa Ski Club of MN Inc.",6599674,"ADAIR Ally",2007,15-04-2025,,,,98.03,1974,*,147.49,2745,*,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,285547,151615,ADAMEC,Jakub,CZE,M,2008-02-29,,,"ADAMEC Jakub",2008,15-04-2025,,,,,,,,,,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,252273,561455,ADAMEK,Anze,SLO,M,2004-03-14,"KRG - ASK KRANJSKA GORA",SLO,"ADAMEK Anze",2004,15-04-2025,,,,133.83,3941,*,86.25,2673,*,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,274931,6296995,ADAMI,Matilde,ITA,W,2006-11-20,"S.C. CHAMOIS A.S.D.",ITA56161,"ADAMI Matilde",2006,15-04-2025,,,,,,,201.50,3298,*,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,293605,701102,Adamsky,Martin,SVK,M,2008-01-21,,,"Adamsky Martin",2008,15-04-2025,,,,,,,,,,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,262941,701043,ADAMSKY,Tomas,SVK,M,2005-09-11,"Martincek Racing Academy",SVK,"ADAMSKY Tomas",2005,15-04-2025,,,,72.09,2093,,80.90,2467,,240.68,2773,*,393.08,883,*
412,"21st FIS points list 2024/25",1,1,AL,O,226529,961007,ADIENA,"Buman Ali",AFG,M,1994-11-03,,,"ADIENA Buman Ali",1994,15-04-2025,,,,,,,,,,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,265122,10000459,ADORNI,Manuel,ITA,M,2005-12-06,"SKI CLUB CHAMOLE  A.S.D.",ITA53017,"ADORNI Manuel",2005,15-04-2025,206.61,1655,*,72.91,2116,*,51.37,1269,*,89.15,888,*,,,
412,"21st FIS points list 2024/25",1,1,AL,O,252137,507233,ADSTEN,Amber,SWE,W,2004-02-03,"Aare SLK",SWEDEN,"ADSTEN Amber",2004,15-04-2025,200.00,785,*,40.16,511,*,39.36,479,*,74.99,380,*,999.99,708,*
412,"21st FIS points list 2024/25",1,1,AL,O,265201,265084,AEINEHSAZ,Alma,IRI,W,2005-12-17,,,"AEINEHSAZ Alma",2005,15-04-2025,,,,502.02,4044,*,503.90,4036,*,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,148274,511983,AERNI,Luca,SUI,M,1993-03-27,"Les Barzettes",SUI,"AERNI Luca",1993,15-04-2025,73.53,411,*,5.49,24,*,7.25,20,,92.06,943,*,95.99,38,*
412,"21st FIS points list 2024/25",1,1,AL,O,287158,65169,AERTS,Svea,BEL,W,2008-05-22,SnowValleyRacingTeam,,"AERTS Svea",2008,15-04-2025,,,,145.38,2765,,121.63,2396,,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,263455,60330,AERTS,Vico,BEL,M,2005-01-27,"Snow Valley Racing Team",,"AERTS Vico",2005,15-04-2025,,,,66.90,1872,,97.54,3061,*,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,284998,6538151,AFZELIUS,Ellen,USA,W,2008-08-02,"Burke Mountain Academy",6865596,"AFZELIUS Ellen",2008,15-04-2025,,,,166.55,3013,+,189.79,3204,+,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,261554,308468,AGARI,Miharu,JPN,W,2005-09-28,,,"AGARI Miharu",2005,15-04-2025,,,,91.42,1835,,56.88,967,,270.66,1755,*,,,
412,"21st FIS points list 2024/25",1,1,AL,O,271652,6296854,AGAZZI,Giulia,ITA,W,2006-08-10,"S.C. LECCO A.S.D.",ITA55200,"AGAZZI Giulia",2006,15-04-2025,125.69,525,,94.16,1886,,67.11,1239,,98.42,621,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,166907,56258,AGER,Christina,AUT,W,1995-11-11,"WSV Soell - Tirol",,"AGER Christina",1995,15-04-2025,7.75,22,*,75.54,1426,*,71.45,1363,*,17.44,31,*,88.61,23,*
412,"21st FIS points list 2024/25",1,1,AL,O,192617,745010,AGHAJANYAN,Nune,ARM,W,1997-11-22,"Vanadzor Athletic and winter sports",ARM,"AGHAJANYAN Nune",1997,15-04-2025,,,,,,,,,,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,218321,740042,AGHAJANYAN,Tigran,ARM,M,1999-05-19,"Vanadzor Winter sports school",ARM,"AGHAJANYAN Tigran",1999,15-04-2025,,,,,,,,,,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,251285,860011,AGHAMATOV,Javid,AZE,M,1990-08-11,,,"AGHAMATOV Javid",1990,15-04-2025,,,,,,,,,,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,222080,6295580,AGNELLI,Carole,ITA,W,2001-11-16,"GRUPPO SPORTIVO FIAMME ORO",ITA43862,"AGNELLI Carole",2001,15-04-2025,293.49,993,*,27.68,259,*,22.82,108,,126.23,885,*,258.84,234,*
412,"21st FIS points list 2024/25",1,1,AL,O,287152,6297420,AGNOLETTO,Sofia,ITA,W,2008-02-19,"U.O.E.I. TREVISO A.S.D.",ITA60620,"AGNOLETTO Sofia",2008,15-04-2025,,,,191.57,3235,+,143.34,2680,,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,280877,230869,AGORASTIDIS,Dimitrios,GRE,M,2007-10-25,"EOS Larisas",GRE,"AGORASTIDIS Dimitrios",2007,15-04-2025,,,,,,,,,,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,294022,6297581,AGOSTINI,Marilena,ITA,W,2008-01-07,"VAL DI FIEMME SKI TEAM A.S.D.",ITA60203,"AGOSTINI Marilena",2008,15-04-2025,,,,106.95,2154,,97.36,1959,,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,282486,10001421,AGOSTINI,Mattia,ITA,M,2007-09-21,"SCI CLUB ANAUNE - CLES A.D.",ITA59158,"AGOSTINI Mattia",2007,15-04-2025,,,,187.20,4842,,140.67,4185,,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,233905,6294348,AGOSTINIS,Cristiano,ITA,M,2002-06-11,"A.S.D. SCI CLUB MONTE DAUDA",ITA44832,"AGOSTINIS Cristiano",2002,15-04-2025,,,,94.46,2900,*,138.92,4145,*,,,,,,
412,"21st FIS points list 2024/25",1,1,AL,O,295369,10001934,AGUETTAZ,Giorgio,ITA,M,1966-06-18,"S.C. MASTER TEAM PILA A.D.",ITA15324,"AGUETTAZ Giorgio",1966,15-04-2025,,,,,,,,,,,,,,,
